run_timestamp,city,slug,date,day_of_week,total_booked_hours
2026-01-16T08:24:48,boca-raton-fl-west,boca-raton-fl-west,2026-01-16,Friday,0.0
2026-01-16T08:24:48,bradentonfl,bradentonfl,2026-01-16,Friday,21.0
2026-01-16T08:24:48,jacksonvillebeachfl,jacksonvillebeachfl,2026-01-16,Friday,8.5
2026-01-16T08:24:48,miramarbeach,miramarbeach,2026-01-16,Friday,21.0
2026-01-16T08:24:48,naplesfl,naplesfl,2026-01-16,Friday,10.5
2026-01-16T08:24:48,naples-fl-north,naples-fl-north,2026-01-16,Friday,2.0
2026-01-16T08:24:48,oldsmarfl,oldsmarfl,2026-01-16,Friday,26.5
2026-01-16T08:24:48,orlando-fl-waterford-lakes,orlando-fl-waterford-lakes,2026-01-16,Friday,0.0
2026-01-16T08:24:48,ponte-vedra-fl,ponte-vedra-fl,2026-01-16,Friday,20.0
2026-01-16T08:24:48,port-charlotte-fl,port-charlotte-fl,2026-01-16,Friday,17.0
2026-01-16T08:24:48,spring-hill-fl,spring-hill-fl,2026-01-16,Friday,21.0
2026-01-16T08:24:48,alpharetta-ga,alpharetta-ga,2026-01-16,Friday,0.0
2026-01-16T08:24:48,westmidtownga,westmidtownga,2026-01-16,Friday,29.0
2026-01-16T08:24:48,augustaga,augustaga,2026-01-16,Friday,40.0
2026-01-16T08:24:48,braseltonga,braseltonga,2026-01-16,Friday,32.5
2026-01-16T08:24:48,dacula-ga,dacula-ga,2026-01-16,Friday,33.0
2026-01-16T08:24:48,mcdonoughga,mcdonoughga,2026-01-16,Friday,17.0
2026-01-16T08:24:48,warnerrobinsga,warnerrobinsga,2026-01-16,Friday,37.5
2026-01-16T08:24:48,woodstock-ga,woodstock-ga,2026-01-16,Friday,0.0
2026-01-16T08:24:48,ankeny-ia,ankeny-ia,2026-01-16,Friday,8.0
2026-01-16T08:24:48,des-moines-ia-downtown,des-moines-ia-downtown,2026-01-16,Friday,0.0
2026-01-16T08:24:48,des-moines-waukee-ia,des-moines-waukee-ia,2026-01-16,Friday,0.0
2026-01-16T08:24:48,boise-id,boise-id,2026-01-16,Friday,38.0
2026-01-16T08:24:48,meridian-id,meridian-id,2026-01-16,Friday,23.0
2026-01-16T08:24:48,carmelin,carmelin,2026-01-16,Friday,36.0
2026-01-16T08:24:48,fishers-in,fishers-in,2026-01-16,Friday,42.0
2026-01-16T08:24:48,kansas-city-leawood,kansas-city-leawood,2026-01-16,Friday,26.5
2026-01-16T08:24:48,overlandparkks,overlandparkks,2026-01-16,Friday,44.0
2026-01-16T08:24:48,ascension-la,ascension-la,2026-01-16,Friday,0.0
2026-01-16T08:24:48,baton-rouge-st-george,baton-rouge-st-george,2026-01-16,Friday,6.5
2026-01-16T08:24:48,shreveport-la-south,shreveport-la-south,2026-01-16,Friday,9.5
2026-01-16T08:24:48,maynardma,maynardma,2026-01-16,Friday,27.0
2026-01-16T08:24:48,southborough-ma,southborough-ma,2026-01-16,Friday,49.5
2026-01-16T08:24:48,crofton-md,crofton-md,2026-01-16,Friday,0.0
2026-01-16T08:24:48,towson-baltimore-md,towson-baltimore-md,2026-01-16,Friday,0.0
2026-01-16T08:24:48,white-marsh-baltimore-md,white-marsh-baltimore-md,2026-01-16,Friday,0.0
2026-01-16T08:24:48,clarkstonmi,clarkstonmi,2026-01-16,Friday,9.0
2026-01-16T08:24:48,farmington-mi,farmington-mi,2026-01-16,Friday,27.0
2026-01-16T08:24:48,grand-blanc-mi,grand-blanc-mi,2026-01-16,Friday,25.0
2026-01-16T08:24:48,lansing-mi,lansing-mi,2026-01-16,Friday,40.0
2026-01-16T08:24:48,livonia-mi,livonia-mi,2026-01-16,Friday,44.5
2026-01-16T08:24:48,novi-mi,novi-mi,2026-01-16,Friday,0.0
2026-01-16T08:24:48,rochester-hills-mi,rochester-hills-mi,2026-01-16,Friday,26.5
2026-01-16T08:24:48,troy-mi,troy-mi,2026-01-16,Friday,23.5
2026-01-16T08:24:48,west-bloomfield-mi,west-bloomfield-mi,2026-01-16,Friday,0.0
2026-01-16T08:24:48,st-louis-crestwood-mo,st-louis-crestwood-mo,2026-01-16,Friday,25.0
2026-01-16T08:24:48,liberty-mo,liberty-mo,2026-01-16,Friday,0.0
2026-01-16T08:24:48,rollamo,rollamo,2026-01-16,Friday,17.0
2026-01-16T08:24:48,bozemanmt,bozemanmt,2026-01-16,Friday,45.0
2026-01-16T08:24:48,chapel-hill-nc,chapel-hill-nc,2026-01-16,Friday,22.0
2026-01-16T08:24:48,raleigh-nc-north,raleigh-nc-north,2026-01-16,Friday,3.5
2026-01-16T08:24:48,lincoln-ne-south,lincoln-ne-south,2026-01-16,Friday,40.5
2026-01-16T08:24:48,omahane,omahane,2026-01-16,Friday,38.0
2026-01-16T08:24:48,papillionne,papillionne,2026-01-16,Friday,43.0
2026-01-16T08:24:48,howell-nj,howell-nj,2026-01-16,Friday,5.0
2026-01-16T08:24:48,pomptonplainsnj,pomptonplainsnj,2026-01-16,Friday,77.0
2026-01-16T08:24:48,princetonnj,princetonnj,2026-01-16,Friday,34.0
2026-01-16T08:24:48,toms-river-nj,toms-river-nj,2026-01-16,Friday,0.0
2026-01-16T08:24:48,lascruces-nm,lascruces-nm,2026-01-16,Friday,29.0
2026-01-16T08:24:48,hendersonnv,hendersonnv,2026-01-16,Friday,17.5
2026-01-16T08:24:48,mesquitenv,mesquitenv,2026-01-16,Friday,13.5
2026-01-16T08:24:48,southsummerlinnv,southsummerlinnv,2026-01-16,Friday,29.5
2026-01-16T08:24:48,summerlinlasvegasnv,summerlinlasvegasnv,2026-01-16,Friday,26.5
2026-01-16T08:24:48,bethpage-ny,bethpage-ny,2026-01-16,Friday,51.0
2026-01-16T08:24:48,fivetowns-ny,fivetowns-ny,2026-01-16,Friday,20.5
2026-01-16T08:24:48,brunswickoh,brunswickoh,2026-01-16,Friday,53.5
2026-01-16T08:24:48,chardonoh,chardonoh,2026-01-16,Friday,19.0
2026-01-16T08:24:48,columbus-upper-arlington-oh,columbus-upper-arlington-oh,2026-01-16,Friday,29.0
2026-01-16T08:24:48,north-canton-oh,north-canton-oh,2026-01-16,Friday,47.0
2026-01-16T08:24:48,woosteroh,woosteroh,2026-01-16,Friday,45.5
2026-01-16T08:24:48,jenks-ok,jenks-ok,2026-01-16,Friday,7.5
